uuid,rank,parent_uuid
0dbeb6e4-1192-5582-8b36-06239da88e3f,842113,9b6310ae-70a7-f4f6-e530-b7355e327891
cfc3ddb3-d1d3-bc0d-e012-8d62bf46d8e0,1068943,7c028b17-3330-3b0c-31f9-a876fe19f743
c083cd7f-d360-44d5-f2c0-b3903d7edc48,91188,4e72bac1-e5ba-731e-995d-8da054bdee3b
92fed872-fd70-a543-5ff4-d070e04b9a12,10918,17012887-6466-4018-94f9-6c4c05abab07
50e7ee45-398f-390d-afc4-8914decdc9f2,77119,ef2d56f4-c8e4-dc59-d59d-ef5bdc2ca21f
2dac3586-428c-da64-52a2-ab2ea2dde4ef,103048,ab49c193-63c6-680b-7930-8f40e9f55a19
3ef8f19b-fbee-08e1-379b-79c8fb9b9b5a,321310,fc5fbe7a-562d-d577-b05e-46797caa134c
08710a5e-c385-7f52-9751-8b3a89c5a26d,212090,e5c42bcc-71b4-0857-8782-ffae92a45eae
57fd815a-d340-c7ab-a975-dd541a71fec6,1546,fd80725f-53fc-7009-9878-aeecf1e9ffbb
a6d1bee1-db2e-48e4-ac4c-48ec6b5c6ef5,105427,70c237f1-acb9-b46e-b7ef-dcc6d4c7ae9a
ebdeac4d-194f-4dce-fbaf-87d2433412b6,239769,d9bb3675-1bae-bab4-98d3-e9e7113d5a79
9ae1effe-eeb7-b325-7a07-93b2ee97c033,7163,ab47d80c-7971-c8e6-b620-7483498d0c5b
560c6b85-f7b7-b5cd-d60c-ef9652882353,65102,935f01aa-9de7-9683-827a-c8eac0f9af2d
0b39ad68-7903-de3e-44ac-9012999a1318,194624,93ad161c-86f3-3f2d-f130-215dcc8cd59c
0203ce4c-b866-bf5e-fc5e-b2588cb17f8a,51821,d4a3b4cc-f5db-45c9-a276-e591bdb8a0c3
0c6e7ee4-328a-7221-55f2-fa890428f650,372005,c981649a-434c-7b03-4ce4-b798f9a80c8b
e4ba2781-c209-0e04-7bee-f33fa339c45b,39898,6acfa7da-1dbd-936e-d985-cf07a1b27711
0b2831b2-d64e-30c4-af5f-67d090c75530,114876,fd80725f-53fc-7009-9878-aeecf1e9ffbb
9c86c7a2-71bc-0f5f-7aff-a4d55545a067,628935,7df2c9ef-6fdb-d276-aa56-ab4c74161e40
04850d4f-10e8-1f2f-e54a-2b9ceae952d5,626,3e3e8a2f-3700-f2c9-6568-4aaae02c07c6
08935435-06e2-103b-66ed-27b85ed29f7c,123946,0bebb924-6295-c9fb-5f54-39696bf8aa04
574f0cd4-f9ba-bbd4-22cb-b86cda8f0ea8,815721,4235a123-e388-2036-ef01-6d18f8f24382
4bc68929-b0bb-b5b1-2da7-775569d4233d,19872,1bd1698c-cd0f-37bb-581b-1a4b6dd1c772
e3790d0f-883e-d140-b23e-63760db98b27,741614,ba292710-05a3-2e82-98cc-05877c0442c6
449f82bf-b220-87e0-41c9-ef5160013834,119640,1bd1698c-cd0f-37bb-581b-1a4b6dd1c772
155fe7e0-3628-dd4a-98f4-c595c6ad7c75,100925,b0599380-4b5f-d6ec-5f3f-0704d348808a
fe8fef9f-5494-7369-7b8d-a2d83628c2d9,133531,ec5d8cbb-9e69-da4b-a82b-876b20613afd
e2cbfa35-2cb3-ea80-be83-d9361d29d529,335326,cd957959-01f8-109e-2c4b-b44e0fcde668
6d3856e0-28db-ae63-ad92-1ea6feb54b0b,118670,9076754e-e6cb-6b3a-3a97-eec77a1b822e
59888d7d-8983-18e0-7bf9-8bf40dd62dc2,190955,148d24a5-c367-925e-8b99-3671d280f9bf
21fb8543-2768-0bc7-9c3d-3df5f0bf7e2b,268665,dfdddecb-c719-02ec-56f6-da4f071ab6e6
1cb12ef3-0683-605a-9721-fd3311900070,134602,d65bcbfb-b94e-e848-a953-bcd89ab7de00
cf4a210e-663f-d29f-ae33-ceb5fb9dd0c7,169535,f2b7a72a-8365-9807-32fc-9d751cd699bb
7919c458-6b81-bbec-1872-bcdb60ef8c9b,1040393,5650dc0d-a20d-1070-c748-e899562b2c48
9a6e2490-73d0-d316-89d5-d725c4a95050,119378,8b4b73f6-f945-4d33-994d-ce87bc56365d
d4e48079-c15e-68ea-fa65-7a671472f814,72778,bf313e68-63a0-8281-a809-bc824b4c51f2
34a67d31-61d1-12b7-4aa9-84545dbace02,14570,57647cbe-174f-bace-5fda-9d0b4d12e4e2
8dc173c7-2c08-250d-9b34-e6a0db4419da,88570,ab47d80c-7971-c8e6-b620-7483498d0c5b
de71ea15-fc6c-4643-ae51-54264d000123,178340,f66ceca7-8159-129b-11b0-0e842826da4f
e6c326ad-1243-8ce7-0b2d-3ca524baa4fb,170435,e649d0c7-3f41-e2c0-03b7-867ab82fb8d2
