uuid,rank,country_code,region,city,investment_type,raised_amount_usd,post_money_valuation_usd,investor_count,org_uuid,lead_investor_uuids
a119b38f-a0b3-5eb9-4180-50ca32441f64,242252.0,ISR,HaMerkaz,Petah Tiqva,series_a,12000000.0,,4.0,8e803c84-d2f1-2e0c-8c75-4f2752719ae2,
135981b1-6af0-8e33-f0e3-d0230d7a080a,265649.0,ARM,Yerevan,Yerevan,series_unknown,7730000.0,,1.0,fd7e2960-5711-ff66-3040-4809daca40c4,
fa167520-a83e-6d20-957f-10f1528ed79a,225118.0,USA,California,Newark,series_d,7500000.0,,6.0,adef12da-172c-a287-777b-781e1e77fa8b,ca2aeac7-66fd-86e8-de1d-a1a8d1a81218
a3a89f0a-2d2f-1465-c127-57b45bac868a,191627.0,DEU,Bayern,Munich,angel,,,2.0,ecb58019-1ff8-d85b-811d-669b36c4360a,
6fb59b0d-4dc4-f506-f0c7-9f34dad52726,333572.0,USA,California,Mountain View,series_c,500000.0,,4.0,aae1c65a-3528-fd92-c1b0-cf9b55a87b0e,
c8737e77-3333-5843-c049-8c01de8bfac2,272283.0,USA,Florida,Tampa,series_c,11600000.0,,5.0,f7c3b81d-4fcd-4f94-9332-6b9d21510186,"c2b51fcc-978d-3137-fd7a-203d7492c2b4,dbeaff20-9ef1-86fb-33c3-6e7b98eeec64"
65224179-7ee2-1128-19ce-aebc87fd8ccc,154885.0,FRA,Ile-de-France,Paris,series_c,10850000.0,,3.0,04f39763-3f06-44b5-ce43-6b1545066b97,
0a9b8279-83ee-894d-0c2c-6ca345f262bd,270733.0,CHE,Vaud,Lausanne,angel,1000000.0,,,94eda9bb-a022-52b5-a238-8b8874bea713,
4adff187-96e3-2d59-da4f-c062a108584a,177059.0,GBR,Gateshead,Gateshead,seed,213577.0,,,6a7cc5b9-428b-3887-39c0-79e95ae4b399,
db7375a0-ce29-d07c-8197-6308cf296a69,321181.0,USA,Massachusetts,Burlington,series_c,9000000.0,,4.0,e41442f2-8570-5ff0-bfd7-771865f72cad,59939e6e-f8ec-79e1-91ac-5d146a1e6ccc
8de14399-2d31-f1ed-f4e6-4010daa33d1f,183599.0,DEU,Berlin,Berlin,series_d,8260000.0,,4.0,f9459c4f-8db7-f7e8-82a2-923e05636841,
f960b455-2bb5-a951-ca90-563aab728dac,296174.0,USA,Massachusetts,Cambridge,series_a,8000000.0,,3.0,4f6b26a2-85ef-a1e8-930c-a0a384877b7a,b7c000b8-0b00-9936-7e3f-7954f1af2949
fdb03cc8-9e8d-871b-5158-b9079a2d7fb7,338751.0,USA,New Hampshire,Concord,series_b,8000000.0,,2.0,5f89cee6-c066-f651-3c38-a103d9fbae49,64c30a37-942e-db16-e7e4-ca620f01b270
27b2c82f-1247-3fb5-0d4d-7ac8b0ac392a,164416.0,CHN,Shanghai,Shanghai,series_b,8000000.0,,2.0,a5802f2e-e0f0-9ce9-3075-a2c424ce9adb,0dd30cf2-d5b5-64b4-0125-444552ece859
382b5977-a32a-5358-fc1e-de8bcb8a6368,300170.0,ISR,HaMerkaz,Netanya,series_unknown,8000000.0,,2.0,ef945fd4-91a4-e1ad-2287-5ab50a998822,"e2006571-6b7a-e477-002a-f7014f48a7e3,111c20bc-0812-4a4f-be02-b25a559c9978"
6e979ee4-07a4-6277-6809-49bf4fde5331,292944.0,USA,California,San Francisco,series_b,7870000.0,,2.0,bdafa3d1-50b2-9382-a783-491071b9143e,"1e2086b1-372d-f2a9-f118-94bf57c69511,0bd5d0b1-3540-9a1f-5a3b-0f2fd36e8035"
c0ac978b-6eb7-101d-63d3-ac6d7ddbfdc5,95154.0,USA,Massachusetts,Lexington,series_b,9000000.0,,3.0,5cb0472b-cd79-87c0-9c43-7342a1a14f2d,
ecbfeebb-890e-6deb-d663-5bd5974e0f70,116647.0,USA,Texas,Addison,series_c,9000000.0,,6.0,d74b6165-24e2-0554-6e2f-fe0059f32644,
9cf476c7-c51a-940a-6786-1ead9f846926,341393.0,USA,Virginia,Reston,series_unknown,9000000.0,,1.0,18ffe360-0338-5789-016e-def061f31ac3,
6c3ef8c1-7422-2eaf-e9b1-9538c2f053b0,341950.0,FRA,Ile-de-France,Paris,series_a,6500000.0,,2.0,a0bf9b36-2fd6-089c-094a-121f3444295a,b8e86d8c-6f9d-2513-f106-3c7818c1d29d
f1431bac-9d45-1a2d-dd98-775f738b804f,321642.0,FRA,Ile-de-France,Paris,series_b,2700000.0,,2.0,a0bf9b36-2fd6-089c-094a-121f3444295a,
17f19902-c81d-cf8e-0b20-3f941eb4f28a,295996.0,USA,Pennsylvania,Philadelphia,angel,275000.0,,1.0,e05f6ed0-5f0d-39f6-0671-616bafd5d61b,
85845e6b-2feb-5d95-b733-b629d26433bd,243302.0,BRA,Sao Paulo,São Paulo,seed,100000.0,,,40d763d6-f9e4-3420-19d6-59adecafda2b,
214c4ba5-61eb-d3ca-71c4-52854f244c70,255148.0,COL,Distrito Especial,Bogotá,series_a,1200000.0,,,4d3a7deb-d3a9-b1fe-5bdf-e10e5e48fbdf,
d16a848c-2eb6-134e-5924-94d2ebc4f0ef,183323.0,ARG,Distrito Federal,Buenos Aires,seed,,,,c09c8714-6a9e-619c-d1e3-35cff2e92345,
ce6749b6-441f-52cc-af38-b6d5578779fd,242623.0,USA,Utah,Orem,seed,500000.0,,3.0,5faf848a-8cf5-072b-faea-92a0c5988223,
cd8bf513-3a83-8cfc-f72f-6a656f6456d8,216178.0,USA,Massachusetts,Boston,series_b,9000000.0,,3.0,e693257b-dca1-01c8-367c-15e78143ffa8,a67fe1b3-f4e4-c5d3-a48b-903ca11e88f0
02c45fc9-e400-6c8d-6f62-99c64f79f6f4,179326.0,USA,California,Redwood City,series_a,8750000.0,,3.0,6caf7a2a-b30e-b3c3-0e8d-09e94805cfa2,4e735dd7-c7c5-f189-370c-67bfb8e413dd
9f270478-4fd7-9dd0-227e-ed41f637b736,340032.0,USA,Illinois,Chicago,series_b,8500000.0,,2.0,f7f6d2c4-2f2b-5bf5-7ebb-3423e4f41cba,
d8176e0b-22d8-8d62-2ad1-7762b19f37cd,152198.0,USA,New York,New York,series_b,9800000.0,,3.0,5d2f0549-3339-a561-d432-da82ae53416d,
719e5030-1803-d391-8ffa-558fc877e41c,349912.0,IND,Punjab,Mohali,seed,160000.0,,,00923981-7013-7934-d71c-83525c1bc6a9,
5c9c8f1a-e4de-bec6-527d-50d4a5f5787c,69404.0,CAN,British Columbia,Vancouver,seed,285856.0,,1.0,401b6fd1-a44b-82ed-d6e5-2260333f50a7,
e0dde000-706a-6476-ffb6-7dcf55d496a1,310411.0,USA,New York,New York,series_a,2200000.0,,,96067f63-8716-3fb3-5995-f6d731c7c05d,
f43ed84d-6234-6ad7-04c4-7cfca1db6bf2,224362.0,PRT,Porto,Maia,series_b,7720000.0,,3.0,e32df6f8-78f3-fcc3-ff79-b07fa7841dba,"c7bf91cb-893a-d154-6637-1a28cb0ed14f,56e8dbb0-01cd-bdc3-db01-d38b3f8ce7d4"
7b4af7e6-0f27-8f0d-0a77-c42d070fc95b,147480.0,USA,New York,New York,seed,800000.0,,1.0,eac1b0bf-d35c-477f-88f5-088d93addefc,
1f93999a-5bd3-6567-dfee-ea68134e3a3d,98376.0,USA,California,San Francisco,series_a,2000000.0,,3.0,4cd82fe0-430d-93f7-15a0-d9ed2afeb124,
cef0c7b6-bc80-8140-fd06-27b35a7e340d,198624.0,USA,California,Fremont,series_e,220000000.0,,10.0,98c6a9e4-08c6-8a09-e70c-335974c00231,
7a0ee910-a3bc-722f-91ff-b87c85cd989e,321832.0,USA,California,San Francisco,series_a,6000000.0,,,d6076360-2037-88c7-026b-f4dc6385d93b,
a7805c17-70b3-0797-d073-331674c31a4c,218761.0,USA,Illinois,Chicago,series_unknown,30000000.0,,1.0,9503befc-74a1-bbec-b166-a4ad629166b7,0122ba6a-8025-d6fe-8e1c-00219628a8d6
eca4e6e4-ee60-9db8-1d42-436a8e89fd6c,300029.0,USA,California,San Francisco,series_b,1500000.0,,3.0,4cd82fe0-430d-93f7-15a0-d9ed2afeb124,
c89f4654-3f39-d6ec-892e-135f16028516,334386.0,USA,California,Los Gatos,series_a,6000000.0,,2.0,bdf7017b-8cc3-ee28-7c13-88021609a1d6,"0e09f1a3-ab17-d2d6-80a4-4425f38e4078,797bd29e-05a3-bf92-7bdf-16235be07a5f"
2195a55e-5a77-f5b5-9632-2cbe3a656664,190997.0,CHN,Beijing,Beijing,series_b,5780000.0,,1.0,2934f57c-f114-eecb-6902-6a4481ec392f,506b68d7-61d1-b593-0a0d-518cfa5ff5f3
882a3123-7d72-9e63-3d5c-f57bc8850eb5,280365.0,USA,Texas,League City,series_b,5600000.0,,2.0,fa60d366-e827-43b8-5964-eabb0f0a9306,"2d9c2c51-2c18-f18f-64a3-c6a49aeda7b2,76074241-e950-e73b-28f4-53f5356e34a0"
