company_name,employee_count,num_funding_rounds,fd_rd_latest_investment,cat_lending_invests,cat_payments,cat_commerce_shopping,first_fund_investor_count,first_fund_post_money,num_exec,fd_rd_num_invested_by_top_100,average_momentum
RealCrowd,2,5.0,1.0,0.0,0.0,0.0,9.0,0.0,4.0,0.0,1.7209302325581397
Hrmony,2,3.0,1.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,3.067412283806419
Indorse,2,3.0,1.0,0.0,1.0,0.0,1.0,0.0,14.0,1.0,3.49933172462169
Myforexeye Fintech Private Limited,3,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0413112313010706
Valoo,2,3.0,2.0,0.0,0.0,1.0,3.0,0.0,4.0,0.0,0.7954508721023751
Quiklo,2,4.0,2.0,0.0,0.0,0.0,3.0,0.0,5.0,3.0,1.0428751488742305
Flux QR,1,2.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,2.7921818907060234
Moneymailme,2,5.0,1.0,0.0,1.0,0.0,4.0,0.0,11.0,0.0,1.4935536970191101
dYdX,1,2.0,2.0,0.0,1.0,0.0,13.0,0.0,7.0,1.0,1.3333333333333333
Insurdata,2,3.0,1.0,0.0,0.0,0.0,10.0,0.0,4.0,1.0,0.6684938832809679
ERNIT,1,6.0,1.0,1.0,0.0,0.0,5.0,0.0,9.0,0.0,2.0473925369554444
DealCircle,1,2.0,1.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,7.682525089969228
DarQube,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.646584406652583
OPEN,2,5.0,3.0,1.0,1.0,0.0,8.0,0.0,1.0,1.0,2.0895780479545882
Beforepay,2,3.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,2.6160472251679674
Limepay,1,2.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,2.2041482069254337
Paid,1,3.0,1.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,3.341687552213871
StreamLoan,1,4.0,1.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,1.1775696532449893
Wonder Technologies,1,3.0,1.0,0.0,1.0,1.0,10.0,0.0,9.0,0.0,3.3014967625399008
Code Money,2,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.4294174103040571
ChainsGuard,2,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.7716232801854537
Cardless,2,3.0,2.0,0.0,0.0,0.0,9.0,0.0,2.0,1.0,2.578612839363396
Spark Change,2,3.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,4.210095599451003
"SPARE CS, INC",1,4.0,1.0,1.0,1.0,1.0,1.0,0.0,11.0,0.0,2.0412186037463087
PrimaryBid,3,4.0,3.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.8817626113326984
Everyday Life Insurance,1,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.5879105383905954
weeSpring,1,2.0,1.0,0.0,0.0,1.0,4.0,0.0,5.0,0.0,1.7003429024853367
QUIN,2,2.0,1.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,3.618682388911092
ideaTree Inc.,3,2.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,3.3941189175846294
Piano Software,5,8.0,3.0,0.0,1.0,0.0,1.0,0.0,22.0,0.0,0.7679912846063622
AeMoney.com,2,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.5536859107320296
Samlino.dk,1,3.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1.8941765367964551
Declarando,3,2.0,1.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,2.450232193600539
Paytailor,1,3.0,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,1.2904711939908848
Ordrx,1,5.0,1.0,0.0,0.0,1.0,12.0,0.0,8.0,0.0,1.2197141196675756
Hash,2,2.0,2.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,2.3850565366810854
Shopline,5,5.0,1.0,0.0,1.0,1.0,11.0,0.0,6.0,0.0,3.744623919785069
AND CO,2,2.0,1.0,0.0,0.0,1.0,15.0,0.0,7.0,0.0,4.813477737665466
Instantcoins.ng,1,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0209792048809034
Inovance Financial Technologies,1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.1478322236200165
Back Office,2,3.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,3.4125986939054087
AID:Tech,2,10.0,2.0,0.0,0.0,0.0,10.0,0.0,19.0,1.0,0.22859961554489536
Locus,1,4.0,1.0,0.0,1.0,1.0,2.0,0.0,3.0,0.0,3.6507588538009434
PiliPay,2,2.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.4592979390385024
Libeo,2,2.0,1.0,0.0,1.0,0.0,1.0,0.0,10.0,0.0,1.3049391915657775
SafeRE,1,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.1393912320878354
Dyme,2,4.0,1.0,1.0,0.0,0.0,5.0,0.0,5.0,0.0,1.8175520855172744
DIGGLE,1,3.0,1.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0,1.2901991777390782
MO Tecnologias,4,3.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.79604369082578
Vise,3,4.0,3.0,0.0,0.0,0.0,17.0,0.0,6.0,3.0,1.6262765135335109
Balko,2,2.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,1.9621195507900413
Credy,2,4.0,1.0,1.0,0.0,0.0,7.0,0.0,3.0,0.0,1.6842105263157894
SprinkleBit,2,7.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.7656920157410856
Groww,5,5.0,4.0,1.0,0.0,0.0,9.0,0.0,6.0,1.0,1.6320249906292659
Settle (Merged with Allset),1,2.0,1.0,0.0,1.0,0.0,6.0,0.0,9.0,0.0,2.604278268781296
Portion,1,3.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,2.3792968085047344
STILT,1,7.0,1.0,0.0,0.0,0.0,13.0,0.0,4.0,0.0,1.7893771121949489
Startwise Inc,1,2.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,6.529911659623673
Pact Fitness,1,4.0,1.0,0.0,0.0,0.0,17.0,0.0,4.0,0.0,1.4062660296097964
Switcho,1,2.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.163050989251912
Quantstamp,2,3.0,1.0,0.0,0.0,0.0,9.0,0.0,17.0,1.0,1.852080123266564
AppsFunder,1,2.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.5927794000530906
Owners Circle,1,2.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,3.2546927073605723
Drip Capital,4,7.0,3.0,0.0,0.0,0.0,14.0,0.0,7.0,4.0,1.05436063932972
Halan,4,6.0,2.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,2.275544554586523
BudgetBakers.com,2,4.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,2.76184749513157
Progcap,2,2.0,2.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,5.288906518577284
Mucfc.com,6,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.1267440754548934
Albert,4,7.0,3.0,0.0,0.0,0.0,13.0,0.0,5.0,2.0,1.5749069001008351
Yuyan,2,2.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.9878411673390282
IQcard,3,4.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.62578408592692
LaunchTrack,1,3.0,1.0,0.0,1.0,1.0,6.0,0.0,3.0,0.0,0.8923407677017114
WebCurfew,1,3.0,1.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,2.6645220196034587
Hathor Labs,1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.6586117547451096
Yumpingo,2,4.0,2.0,0.0,1.0,0.0,4.0,0.0,11.0,0.0,3.326573826002932
Telleroo,1,2.0,1.0,0.0,1.0,0.0,5.0,0.0,5.0,0.0,2.5139197658598853
QuantCube Technology,2,3.0,2.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.983839966016009
Panta Group,1,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.1478322236200182
PayMins,1,2.0,1.0,0.0,1.0,0.0,5.0,0.0,2.0,0.0,0.7949125596184418
Flutterwave,2,11.0,3.0,0.0,1.0,0.0,18.0,0.0,11.0,3.0,2.705875648463615
Descartes Underwriting,2,2.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0386809001807027
Marginize,1,8.0,2.0,0.0,0.0,0.0,13.0,0.0,1.0,1.0,2.1883299556689115
Kudimoney,2,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.9580838915880816
Korbit,4,5.0,2.0,1.0,1.0,0.0,11.0,0.0,6.0,0.0,1.7536080730083994
Liquefy,2,2.0,1.0,0.0,1.0,0.0,5.0,0.0,4.0,0.0,2.8883711117633237
Péntech - Digital Factoring,2,3.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.5664800057104933
TheBankCloud,1,2.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.932475440518189
Finhaven,2,2.0,2.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,2.682126189049431
Kadena,2,4.0,1.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,3.4273628559329565
Common Computer,2,2.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,2.155133868688856
Glider,1,4.0,1.0,0.0,0.0,0.0,12.0,0.0,5.0,0.0,1.2875557734496101
XCLAIM,2,2.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,1.7284320915877267
Zen Finance,2,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.5770653556453793
Ubooly,2,3.0,1.0,0.0,0.0,0.0,16.0,0.0,6.0,0.0,3.2073521934249016
OkCredit,4,3.0,3.0,1.0,0.0,0.0,3.0,0.0,5.0,2.0,3.548941071285075
Filament,2,8.0,2.0,0.0,1.0,0.0,11.0,0.0,15.0,0.0,0.8183588044220705
ByzGen,2,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.8956331649889056
SeedFi,2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.536688436419516
Dovly,1,2.0,1.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,1.5424200570695423
Payable,1,3.0,1.0,0.0,1.0,0.0,11.0,0.0,3.0,0.0,1.7837837837837838
Chip,3,8.0,2.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,1.5251175162988204
Silot,2,4.0,2.0,1.0,0.0,0.0,3.0,0.0,5.0,1.0,1.3828233043168354
BizBot,1,3.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.170720635318534
Qbera,4,4.0,1.0,0.0,0.0,1.0,7.0,0.0,6.0,0.0,2.7566839263885243
GridMarkets,2,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6403586008164578
Penfold,2,2.0,1.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0,2.080910676564567
uno,2,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.4569947986782936
StudentFunder,1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.4019182988743224
Castle Hill,1,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.867525047563016
Carbon,3,4.0,2.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,0.7200728620861425
NorthRow,2,7.0,2.0,0.0,0.0,0.0,10.0,0.0,16.0,0.0,1.338266889814994
Good Super,2,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.40560967444319
Clair,2,2.0,1.0,1.0,0.0,0.0,5.0,0.0,8.0,0.0,1.5599884679333509
Pathao,0,5.0,2.0,0.0,1.0,1.0,4.0,0.0,17.0,0.0,1.7602862647752875
Geowox,1,4.0,1.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,1.76103347995781
Liumi,3,2.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.02345751758072
Earnnest,2,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.9297894027002884
EASYRONG,5,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.8521074773609951
TaxBit,2,2.0,1.0,0.0,1.0,0.0,7.0,0.0,5.0,0.0,1.18317662042998
Kaching,2,5.0,1.0,0.0,1.0,1.0,3.0,0.0,11.0,0.0,2.2504813105312644
Zamna,2,8.0,1.0,0.0,0.0,0.0,13.0,0.0,3.0,0.0,2.1732788469602893
Lendtable,1,3.0,1.0,1.0,1.0,0.0,20.0,0.0,6.0,1.0,1.3224889241552602
Dynamic Division,1,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.9933973472722921
Found,1,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4891094598437302
CryptoMove,2,3.0,2.0,0.0,0.0,0.0,4.0,0.0,13.0,0.0,1.25
Wealthnavi,1,7.0,5.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,2.042552990268012
symmetrical.ai,2,4.0,1.0,0.0,0.0,0.0,13.0,0.0,10.0,1.0,1.9066134947982707
Giftbit,2,4.0,1.0,0.0,1.0,0.0,4.0,0.0,6.0,1.0,1.169053395527226
Bankjoy,2,4.0,1.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,1.4759626500122918
OpenInvest,2,5.0,2.0,0.0,0.0,0.0,9.0,0.0,8.0,1.0,0.6344195152080782
Dobby,1,4.0,1.0,0.0,0.0,0.0,13.0,0.0,3.0,1.0,0.8980236373153891
BeneFactors,1,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.823287021842978
NPX,1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0147309964018527
Liuv,2,2.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.917955136639224
Casavo,4,4.0,3.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,1.6713591097519078
BillFront,2,2.0,2.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.4776440730406817
Credible,4,7.0,3.0,1.0,0.0,1.0,15.0,0.0,10.0,0.0,1.0786435185143537
