company_name,num_funding_rounds,fd_rd_latest_investment,cat_lending_invests,cat_payments,cat_commerce_shopping,first_fund_investor_count,first_fund_post_money,num_exec,fd_rd_num_invested_by_top_100,tree_prediction,average_momentum
CodeContract,3.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1,2.6612321073178165
uQontrol,2.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,1,2.645502645502648
Weeleo,2.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,1,2.6444532592886465
CupomNow,2.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,1,2.6444532592886367
Final,5.0,1.0,1.0,1.0,0.0,12.0,0.0,9.0,0.0,1,2.638166137767975
Bijak,2.0,2.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,1,2.6275212103192445
Beforepay,3.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1,2.6160472251679674
Loanboox,6.0,3.0,0.0,0.0,0.0,3.0,0.0,11.0,0.0,1,2.614874700255838
Settle (Merged with Allset),2.0,1.0,0.0,1.0,0.0,6.0,0.0,9.0,0.0,1,2.604278268781296
Visible Wealth Management Inc.,2.0,1.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,1,2.6014116994155505
Khatabook,4.0,3.0,0.0,1.0,0.0,1.0,0.0,11.0,0.0,1,2.584835965144803
Cardless,3.0,2.0,0.0,0.0,0.0,9.0,0.0,2.0,1.0,1,2.578612839363396
RightIndem,4.0,1.0,0.0,0.0,0.0,7.0,4582255.0,6.0,0.0,1,2.5777281644053387
ChangeCoin,2.0,1.0,0.0,1.0,0.0,14.0,0.0,24.0,0.0,1,2.567184382183744
CrowdIPR,3.0,1.0,1.0,0.0,0.0,7.0,0.0,1.0,0.0,1,2.5668109058180133
MILI,2.0,2.0,1.0,0.0,1.0,0.0,6200000.0,1.0,0.0,1,2.564557811051277
B2B Pay,4.0,1.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,1,2.5597104886588977
"Blockchain Industries, Inc.",3.0,2.0,0.0,1.0,0.0,1.0,2150000.0,2.0,0.0,1,2.551346148830632
Digitzs,6.0,1.0,0.0,1.0,0.0,1.0,0.0,21.0,0.0,1,2.5378248638671868
Turtlemint,4.0,5.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,1,2.537179198145854
Neosurance,4.0,1.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,1,2.509085905015072
QuardLock,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1,2.495717275110576
AdYapper,4.0,2.0,0.0,0.0,0.0,11.0,0.0,10.0,0.0,1,2.4954040314472157
FindBoB,4.0,1.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,1,2.4908827610310578
Xinja Bank,4.0,5.0,1.0,1.0,0.0,0.0,0.0,12.0,0.0,1,2.4765068609323326
membersy,4.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,2.4659548511475804
Moneytis,4.0,1.0,1.0,1.0,0.0,2.0,6000000.0,7.0,0.0,1,2.459492512180917
PayTap,2.0,1.0,0.0,1.0,1.0,3.0,0.0,6.0,0.0,1,2.4592431679150737
Declarando,2.0,1.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,1,2.450232193600539
hypcloud,3.0,1.0,0.0,0.0,0.0,3.0,0.0,5.0,1.0,1,2.4465666988134145
Ubersense,5.0,1.0,0.0,0.0,0.0,10.0,0.0,13.0,0.0,1,2.4325122639159966
Creditseva.com,3.0,1.0,1.0,0.0,0.0,4.0,0.0,3.0,0.0,1,2.4300720155222093
Secfi,3.0,2.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,1,2.4271171406037446
Delphia,3.0,2.0,0.0,0.0,0.0,16.0,0.0,7.0,1.0,1,2.412127344751575
TronWallet,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,2.406738868832731
Good Super,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.40560967444319
Alternative Derivatives Exchange,2.0,1.0,0.0,0.0,0.0,0.0,8315237.0,0.0,0.0,1,2.3962177904852155
iCommunity Labs,8.0,1.0,0.0,0.0,1.0,3.0,1894041.0,8.0,0.0,1,2.3961970027466135
Idea.me,2.0,1.0,0.0,1.0,0.0,3.0,0.0,7.0,0.0,1,2.393298763462304
Hash,2.0,2.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,1,2.3850565366810854
NERVE CORP,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.3804800634794683
trii,2.0,0.0,0.0,0.0,0.0,0.0,3250000.0,1.0,0.0,1,2.3804800634794683
Outpost,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.3804800634794683
Portion,3.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1,2.3792968085047344
Spiking,5.0,1.0,0.0,0.0,0.0,15.0,0.0,4.0,0.0,1,2.3715517956486365
BOScoin,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,2.360736875524044
Crowdentials,2.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1,2.331157586252833
Helicap,3.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,1,2.326304586043293
Combine,2.0,1.0,0.0,0.0,0.0,3.0,1182066.0,5.0,0.0,1,2.3232017923950026
XiaoBangGuiHua,3.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1,2.321587250694812
IPOhub,3.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,1,2.3200433999121315
Divvy,4.0,4.0,0.0,1.0,0.0,0.0,0.0,16.0,2.0,1,2.31867368232974
+Simple.fr,3.0,2.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,1,2.3117526790935115
PayTabs,2.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1,2.3093234511235594
PayPo,4.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1,2.3040714770356336
TESSA,2.0,1.0,1.0,0.0,0.0,0.0,5150000.0,3.0,0.0,1,2.3006813556322454
taxProper,2.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,1,2.2924340383084316
Gaia Japan,4.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,1,2.2899306386198788
Goodtime Labs,3.0,1.0,0.0,1.0,1.0,12.0,0.0,6.0,0.0,1,2.277678748266983
Halan,6.0,2.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,1,2.275544554586523
CampusLogic,5.0,3.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,1,2.2727358801446416
ADAB Solutions,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2.268471808198933
Opencasa.com,2.0,1.0,0.0,0.0,1.0,1.0,5200000.0,2.0,0.0,1,2.2650635239619885
Bluzelle,7.0,4.0,0.0,1.0,0.0,3.0,0.0,7.0,0.0,1,2.264561506839533
Kaching,5.0,1.0,0.0,1.0,1.0,3.0,0.0,11.0,0.0,1,2.2504813105312644
FintechOS,3.0,2.0,1.0,0.0,0.0,5.0,0.0,2.0,0.0,1,2.2432121575131108
Flux Systems,4.0,2.0,0.0,0.0,0.0,8.0,0.0,5.0,0.0,1,2.231428016227384
Upside,2.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,1,2.2281639928698747
Limepay,2.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1,2.2041482069254337
Plentina,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1,2.2032268341119066
Wyre,6.0,2.0,1.0,1.0,0.0,13.0,0.0,6.0,0.0,1,2.196939063220087
ePaisa - enabling commerce,4.0,1.0,0.0,1.0,1.0,3.0,0.0,12.0,0.0,1,2.1922087947781463
